minute_before_kickoff,arrivals_count_mean,arrivals_count_sd,arrival_rate_pct_mean,arrival_rate_pct_sd,total_queue_length_mean,total_queue_length_sd,queue_pct_of_pre_kickoff_max
2,107.200000,11.448234,0.714667,0.076322,1911.366667,40.951176,67.945209
3,106.666667,9.121151,0.711111,0.060808,1811.666667,41.543773,64.401076
4,108.066667,8.749121,0.720444,0.058327,1710.766667,41.892048,60.814286
5,109.700000,9.150655,0.731333,0.061004,1607.966667,41.681455,57.159954
6,108.833333,9.199263,0.725556,0.061328,1505.766667,41.545723,53.526951
7,106.200000,9.484652,0.708000,0.063231,1401.700000,41.571003,49.827592
8,107.366667,9.953282,0.715778,0.066355,1297.066667,41.511887,46.108090
9,107.166667,10.547375,0.714444,0.070316,1192.300000,41.438072,42.383847
10,108.100000,7.953962,0.720667,0.053026,1086.866667,41.369432,38.635906
11,111.400000,10.260739,0.742667,0.068405,981.000000,41.603216,34.872561
12,107.633333,10.778277,0.717556,0.071855,874.600000,41.532372,31.090256
13,108.033333,11.654460,0.720222,0.077696,767.933333,41.500256,27.298473
14,109.100000,9.106080,0.727333,0.060707,661.233333,41.386057,23.505504
15,107.100000,9.147640,0.714000,0.060984,554.300000,41.220308,19.704241
16,107.300000,8.494014,0.715333,0.056627,452.100000,37.085502,16.071238
17,107.666667,9.682310,0.717778,0.064549,361.733333,34.142635,12.858886
18,110.833333,8.250740,0.738889,0.055005,279.166667,28.832553,9.923809
19,103.600000,8.612741,0.690667,0.057418,206.366667,27.309823,7.335916
20,108.333333,8.121208,0.722222,0.054141,134.366667,27.309823,4.776463
21,108.833333,12.421015,0.725556,0.082807,64.633333,24.240865,2.297584
22,107.566667,8.885026,0.717111,0.059234,23.500000,9.276407,0.835377
23,109.066667,10.705891,0.727111,0.071373,5.466667,5.929083,0.194329
24,109.033333,10.971698,0.726889,0.073145,0.100000,0.547723,0.003555
25,110.400000,9.445305,0.736000,0.062969,0.000000,0.000000,0.000000
26,108.433333,11.331017,0.722889,0.075540,0.000000,0.000000,0.000000
27,105.766667,9.227707,0.705111,0.061518,0.000000,0.000000,0.000000
28,106.200000,9.338094,0.708000,0.062254,0.000000,0.000000,0.000000
29,104.600000,9.704603,0.697333,0.064697,0.000000,0.000000,0.000000
30,102.266667,8.374565,0.681778,0.055830,0.000000,0.000000,0.000000
31,86.833333,10.573498,0.578889,0.070490,0.000000,0.000000,0.000000
32,72.000000,10.722197,0.480000,0.071481,0.000000,0.000000,0.000000
33,54.333333,10.326843,0.362222,0.068846,0.000000,0.000000,0.000000
34,38.233333,7.713326,0.254889,0.051422,0.000000,0.000000,0.000000
35,25.100000,7.241404,0.167333,0.048276,0.000000,0.000000,0.000000
36,15.800000,4.172157,0.105333,0.027814,0.000000,0.000000,0.000000
37,9.700000,3.485438,0.064667,0.023236,0.000000,0.000000,0.000000
38,5.666667,2.022858,0.037778,0.013486,0.000000,0.000000,0.000000
39,3.466667,2.192988,0.023111,0.014620,0.000000,0.000000,0.000000
40,1.833333,1.234094,0.012222,0.008227,0.000000,0.000000,0.000000
41,0.800000,0.996546,0.005333,0.006644,0.000000,0.000000,0.000000
42,0.300000,0.534983,0.002000,0.003567,0.000000,0.000000,0.000000
43,0.100000,0.305129,0.000667,0.002034,0.000000,0.000000,0.000000
44,0.066667,0.253708,0.000444,0.001691,0.000000,0.000000,0.000000
45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
